node,new_score,original_sco,diff
anon_S2486E,623.875731435,625.0,-1.124268565
anon_S4340E,575.755986192,607.0,-31.244013808
anon_S241E,609.291861104,514.0,95.291861104
anon_S1689E,643.460399154,503.0,140.460399154
anon_S3283E,663.509009421,665.0,-1.490990579
anon_S5195E,610.409797407,612.0,-1.590202593
anon_S4944E,618.567178503,664.0,-45.432821497
anon_S2915E,604.236463318,522.0,82.236463318
anon_S5260E,601.243725215,505.0,96.243725215
anon_S5565E,575.096895656,526.0,49.096895656
anon_S1240E,492.0,492.0,0.0
anon_S641E,552.134213851,552.0,0.134213851
anon_S342E,584.310766806,547.0,37.310766806
anon_S5872E,585.395064225,607.0,-21.604935775
anon_S5355E,568.460118486,570.0,-1.539881514
anon_S2538E,640.109232474,798.0,-157.890767526
anon_S3052E,666.819161489,547.0,119.819161489
anon_S4534E,606.35635123,613.0,-6.64364877
anon_S883E,601.015359265,601.0,0.015359265
anon_S851E,614.793823834,740.0,-125.206176166
anon_S514E,560.978419561,608.0,-47.021580439
anon_S964E,635.978345961,636.0,-0.0216540390001
anon_S3520E,551.783009088,630.0,-78.216990912
anon_S829E,701.870146957,763.0,-61.129853043
anon_S6055E,605.77174904,544.0,61.77174904
anon_S5989E,578.260586278,646.0,-67.739413722
anon_S113E,581.0,581.0,0.0
anon_S2858E,581.760307749,455.0,126.760307749
anon_S3597E,588.425657561,585.0,3.425657561
anon_S2565E,623.861685676,593.0,30.861685676
anon_S2998E,660.659481207,576.0,84.659481207
anon_S4569E,515.876094474,467.0,48.876094474
anon_S2035E,655.424842147,500.0,155.424842147
anon_S2863E,550.150881531,578.0,-27.849118469
anon_S4369E,624.926409455,593.0,31.926409455
anon_S4456E,549.684682719,634.0,-84.315317281
anon_S1992E,611.251611056,640.0,-28.748388944
anon_S2921E,621.817619584,441.0,180.817619584
anon_S5700E,566.949068032,575.0,-8.050931968
anon_S4303E,549.248454816,421.0,128.248454816
anon_S635E,629.0,629.0,0.0
anon_S3926E,595.981389477,646.0,-50.018610523
anon_S3461E,598.679614574,627.0,-28.320385426
anon_S4263E,618.825978756,735.0,-116.174021244
anon_S3948E,603.193490085,604.0,-0.806509915
